"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"13","AK",2,13,"Aleutians East Borough, Alaska",3304,2198,1106,"42.4","41.8","45.1"
"14","AK",2,16,"Aleutians West Census Area, Alaska",5684,3393,2291,"36.8","38.8","32.9"
"15","AK",2,20,"Anchorage Municipality, Alaska",299107,153122,145985,"32.5","31.7","33.4"
"16","AK",2,50,"Bethel Census Area, Alaska",17776,9351,8425,"26.7","27.0","26.5"
"17","AK",2,60,"Bristol Bay Borough, Alaska",970,553,417,"39.7","40.3","39.1"
"18","AK",2,68,"Denali Borough, Alaska",2060,1126,934,"35.9","35.9","35.9"
"19","AK",2,70,"Dillingham Census Area, Alaska",4979,2589,2390,"29.7","31.0","28.5"
"20","AK",2,90,"Fairbanks North Star Borough, Alaska",99705,53477,46228,"30.4","29.6","31.3"
"21","AK",2,100,"Haines Borough, Alaska",2560,1387,1173,"45.5","45.6","45.3"
"22","AK",2,105,"Hoonah-Angoon Census Area, Alaska",2128,1129,999,"47.8","48.7","47.3"
"23","AK",2,110,"Juneau City and Borough, Alaska",32531,16645,15886,"37.0","36.6","37.4"
"24","AK",2,122,"Kenai Peninsula Borough, Alaska",57221,29974,27247,"40.5","40.0","41.1"
"25","AK",2,130,"Ketchikan Gateway Borough, Alaska",13699,7038,6661,"38.7","37.9","39.4"
"26","AK",2,150,"Kodiak Island Borough, Alaska",13973,7468,6505,"32.4","31.4","33.3"
"27","AK",2,158,"Kusilvak Census Area, Alaska",7914,4200,3714,"23.0","23.4","22.7"
"28","AK",2,164,"Lake and Peninsula Borough, Alaska",1474,731,743,"31.1","33.1","29.7"
"29","AK",2,170,"Matanuska-Susitna Borough, Alaska",96178,50205,45973,"34.6","34.3","34.9"
"30","AK",2,180,"Nome Census Area, Alaska",9854,5272,4582,"27.8","28.4","27.3"
"31","AK",2,185,"North Slope Borough, Alaska",9667,6172,3495,"33.9","36.0","28.7"
"32","AK",2,188,"Northwest Arctic Borough, Alaska",7732,4165,3567,"26.1","26.4","25.8"
"33","AK",2,195,"Petersburg Borough, Alaska",3221,1708,1513,"40.4","39.0","41.7"
"34","AK",2,198,"Prince of Wales-Hyder Census Area, Alaska",6376,3468,2908,"39.7","40.9","38.3"
"35","AK",2,220,"Sitka City and Borough, Alaska",8943,4584,4359,"38.9","38.2","39.6"
"36","AK",2,230,"Skagway Municipality, Alaska",999,527,472,"43.7","45.8","40.0"
"37","AK",2,240,"Southeast Fairbanks Census Area, Alaska",7029,3909,3120,"35.8","37.7","35.1"
"38","AK",2,261,"Valdez-Cordova Census Area, Alaska",9617,5137,4480,"36.6","36.4","36.8"
"39","AK",2,275,"Wrangell City and Borough, Alaska",2387,1227,1160,"50.4","50.1","50.5"
"40","AK",2,282,"Yakutat City and Borough, Alaska",643,367,276,"42.5","46.6","33.8"
"41","AK",2,290,"Yukon-Koyukuk Census Area, Alaska",5644,3038,2606,"35.0","35.4","34.0"
"414","AL",1,1,"Autauga County, Alabama",55221,26745,28476,"37.7","36.7","38.4"
"415","AL",1,3,"Baldwin County, Alabama",195121,95314,99807,"42.2","40.9","43.3"
"416","AL",1,5,"Barbour County, Alabama",26932,14497,12435,"38.8","36.6","41.9"
"417","AL",1,7,"Bibb County, Alabama",22604,12073,10531,"38.9","37.8","40.4"
"418","AL",1,9,"Blount County, Alabama",57710,28512,29198,"40.7","39.6","41.9"
"419","AL",1,11,"Bullock County, Alabama",10678,5660,5018,"39.3","37.9","40.6"
"420","AL",1,13,"Butler County, Alabama",20354,9502,10852,"40.5","39.0","41.6"
"421","AL",1,15,"Calhoun County, Alabama",116648,56274,60374,"39.1","37.5","40.6"
"422","AL",1,17,"Chambers County, Alabama",34079,16258,17821,"43.0","41.5","43.9"
"423","AL",1,19,"Cherokee County, Alabama",26008,12975,13033,"45.4","44.6","46.2"
"424","AL",1,21,"Chilton County, Alabama",43819,21619,22200,"38.8","37.6","39.6"
"425","AL",1,23,"Choctaw County, Alabama",13395,6382,7013,"44.9","43.8","47.1"
"426","AL",1,25,"Clarke County, Alabama",25070,11834,13236,"41.1","40.0","42.3"
"427","AL",1,27,"Clay County, Alabama",13537,6671,6866,"43.8","43.2","45.1"
"428","AL",1,29,"Cleburne County, Alabama",15002,7334,7668,"41.3","41.0","41.5"
"429","AL",1,31,"Coffee County, Alabama",50884,25174,25710,"38.8","37.6","39.7"
"430","AL",1,33,"Colbert County, Alabama",54444,26303,28141,"42.2","40.7","43.7"
"431","AL",1,35,"Conecuh County, Alabama",12865,6176,6689,"43.7","42.7","44.8"
"432","AL",1,37,"Coosa County, Alabama",11027,5579,5448,"45.1","44.6","45.6"
"433","AL",1,39,"Covington County, Alabama",37886,18339,19547,"42.6","41.0","44.5"
"434","AL",1,41,"Crenshaw County, Alabama",13938,6863,7075,"41.3","39.6","43.6"
"435","AL",1,43,"Cullman County, Alabama",80965,40081,40884,"40.5","39.4","41.9"
"436","AL",1,45,"Dale County, Alabama",49866,24708,25158,"36.8","34.0","39.4"
"437","AL",1,47,"Dallas County, Alabama",42154,19450,22704,"38.7","36.2","40.0"
