,State,StateFIPS,CountyFIPS,AreaName,Median Income
13,AK,2,13,"Aleutians East Borough, Alaska",61518
14,AK,2,16,"Aleutians West Census Area, Alaska",84306
15,AK,2,20,"Anchorage Municipality, Alaska",78326
16,AK,2,50,"Bethel Census Area, Alaska",51012
17,AK,2,60,"Bristol Bay Borough, Alaska",79750
18,AK,2,68,"Denali Borough, Alaska",81544
19,AK,2,70,"Dillingham Census Area, Alaska",54173
20,AK,2,90,"Fairbanks North Star Borough, Alaska",71068
21,AK,2,100,"Haines Borough, Alaska",58750
22,AK,2,105,"Hoonah-Angoon Census Area, Alaska",52419
23,AK,2,110,"Juneau City and Borough, Alaska",85746
24,AK,2,122,"Kenai Peninsula Borough, Alaska",63684
25,AK,2,130,"Ketchikan Gateway Borough, Alaska",64222
26,AK,2,150,"Kodiak Island Borough, Alaska",70887
27,AK,2,158,"Kusilvak Census Area, Alaska",38229
28,AK,2,164,"Lake and Peninsula Borough, Alaska",50781
29,AK,2,170,"Matanuska-Susitna Borough, Alaska",72983
30,AK,2,180,"Nome Census Area, Alaska",48868
31,AK,2,185,"North Slope Borough, Alaska",72576
32,AK,2,188,"Northwest Arctic Borough, Alaska",63648
33,AK,2,195,"Petersburg Borough, Alaska",67935
34,AK,2,198,"Prince of Wales-Hyder Census Area, Alaska",48523
35,AK,2,220,"Sitka City and Borough, Alaska",70376
36,AK,2,230,"Skagway Municipality, Alaska",69318
37,AK,2,240,"Southeast Fairbanks Census Area, Alaska",62670
38,AK,2,261,"Valdez-Cordova Census Area, Alaska",78810
39,AK,2,275,"Wrangell City and Borough, Alaska",48603
40,AK,2,282,"Yakutat City and Borough, Alaska",72500
41,AK,2,290,"Yukon-Koyukuk Census Area, Alaska",38491
414,AL,1,1,"Autauga County, Alabama",51281
415,AL,1,3,"Baldwin County, Alabama",50254
416,AL,1,5,"Barbour County, Alabama",32964
417,AL,1,7,"Bibb County, Alabama",38678
418,AL,1,9,"Blount County, Alabama",45813
419,AL,1,11,"Bullock County, Alabama",31938
420,AL,1,13,"Butler County, Alabama",32229
421,AL,1,15,"Calhoun County, Alabama",41703
422,AL,1,17,"Chambers County, Alabama",34177
423,AL,1,19,"Cherokee County, Alabama",36296
424,AL,1,21,"Chilton County, Alabama",41627
425,AL,1,23,"Choctaw County, Alabama",33536
426,AL,1,25,"Clarke County, Alabama",32011
427,AL,1,27,"Clay County, Alabama",35327
428,AL,1,29,"Cleburne County, Alabama",38056
429,AL,1,31,"Coffee County, Alabama",46729
430,AL,1,33,"Colbert County, Alabama",40576
431,AL,1,35,"Conecuh County, Alabama",24900
432,AL,1,37,"Coosa County, Alabama",31212
433,AL,1,39,"Covington County, Alabama",36444
434,AL,1,41,"Crenshaw County, Alabama",36022
435,AL,1,43,"Cullman County, Alabama",38971
436,AL,1,45,"Dale County, Alabama",45028
437,AL,1,47,"Dallas County, Alabama",27306
438,AL,1,49,"DeKalb County, Alabama",38192
439,AL,1,51,"Elmore County, Alabama",53555
440,AL,1,53,"Escambia County, Alabama",32330
441,AL,1,55,"Etowah County, Alabama",39220
442,AL,1,57,"Fayette County, Alabama",34680
443,AL,1,59,"Franklin County, Alabama",35372
444,AL,1,61,"Geneva County, Alabama",36024
445,AL,1,63,"Greene County, Alabama",20541
446,AL,1,65,"Hale County, Alabama",32714
447,AL,1,67,"Henry County, Alabama",41997
448,AL,1,69,"Houston County, Alabama",41571
449,AL,1,71,"Jackson County, Alabama",37745
450,AL,1,73,"Jefferson County, Alabama",45610
451,AL,1,75,"Lamar County, Alabama",35450
452,AL,1,77,"Lauderdale County, Alabama",43125
453,AL,1,79,"Lawrence County, Alabama",40003
454,AL,1,81,"Lee County, Alabama",44570
455,AL,1,83,"Limestone County, Alabama",49570
456,AL,1,85,"Lowndes County, Alabama",25876
457,AL,1,87,"Macon County, Alabama",30738
458,AL,1,89,"Madison County, Alabama",57993
459,AL,1,91,"Marengo County, Alabama",32042
460,AL,1,93,"Marion County, Alabama",32299
461,AL,1,95,"Marshall County, Alabama",38983
462,AL,1,97,"Mobile County, Alabama",43809
463,AL,1,99,"Monroe County, Alabama",27257
464,AL,1,101,"Montgomery County, Alabama",44369
465,AL,1,103,"Morgan County, Alabama",45751
466,AL,1,105,"Perry County, Alabama",24537
467,AL,1,107,"Pickens County, Alabama",30330
468,AL,1,109,"Pike County, Alabama",32825
469,AL,1,111,"Randolph County, Alabama",36924
470,AL,1,113,"Russell County, Alabama",37049
471,AL,1,115,"St. Clair County, Alabama",51859
472,AL,1,117,"Shelby County, Alabama",70187
473,AL,1,119,"Sumter County, Alabama",19501
474,AL,1,121,"Talladega County, Alabama",35155
475,AL,1,123,"Tallapoosa County, Alabama",39206
476,AL,1,125,"Tuscaloosa County, Alabama",46565
477,AL,1,127,"Walker County, Alabama",35843
478,AL,1,129,"Washington County, Alabama",42811
479,AL,1,131,"Wilcox County, Alabama",23750
480,AL,1,133,"Winston County, Alabama",33194
1107,AR,5,1,"Arkansas County, Arkansas",36411
1108,AR,5,3,"Ashley County, Arkansas",34263
1109,AR,5,5,"Baxter County, Arkansas",35396
1110,AR,5,7,"Benton County, Arkansas",56239
1111,AR,5,9,"Boone County, Arkansas",39251
1112,AR,5,11,"Bradley County, Arkansas",33701
1113,AR,5,13,"Calhoun County, Arkansas",36899
1114,AR,5,15,"Carroll County, Arkansas",36897
1115,AR,5,17,"Chicot County, Arkansas",28913
1116,AR,5,19,"Clark County, Arkansas",35031
1117,AR,5,21,"Clay County, Arkansas",32552
1118,AR,5,23,"Cleburne County, Arkansas",42905
1119,AR,5,25,"Cleveland County, Arkansas",43158
1120,AR,5,27,"Columbia County, Arkansas",36619
1121,AR,5,29,"Conway County, Arkansas",37732
1122,AR,5,31,"Craighead County, Arkansas",42475
1123,AR,5,33,"Crawford County, Arkansas",41268
1124,AR,5,35,"Crittenden County, Arkansas",38004
1125,AR,5,37,"Cross County, Arkansas",38103
1126,AR,5,39,"Dallas County, Arkansas",34084
1127,AR,5,41,"Desha County, Arkansas",27197
1128,AR,5,43,"Drew County, Arkansas",32819
1129,AR,5,45,"Faulkner County, Arkansas",51223
1130,AR,5,47,"Franklin County, Arkansas",39285
1131,AR,5,49,"Fulton County, Arkansas",37066
1132,AR,5,51,"Garland County, Arkansas",38733
1133,AR,5,53,"Grant County, Arkansas",46171
1134,AR,5,55,"Greene County, Arkansas",41286
1135,AR,5,57,"Hempstead County, Arkansas",32122
1136,AR,5,59,"Hot Spring County, Arkansas",40000
1137,AR,5,61,"Howard County, Arkansas",34229
1138,AR,5,63,"Independence County, Arkansas",36265
