"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"13","AK",2,13,"Aleutians East Borough, Alaska",3299
"14","AK",2,16,"Aleutians West Census Area, Alaska",5510
"15","AK",2,20,"Anchorage Municipality, Alaska",287811
"16","AK",2,50,"Bethel Census Area, Alaska",17505
"17","AK",2,60,"Bristol Bay Borough, Alaska",959
"18","AK",2,68,"Denali Borough, Alaska",1999
"19","AK",2,70,"Dillingham Census Area, Alaska",4961
"20","AK",2,90,"Fairbanks North Star Borough, Alaska",93094
"21","AK",2,100,"Haines Borough, Alaska",2554
"22","AK",2,105,"Hoonah-Angoon Census Area, Alaska",2125
"23","AK",2,110,"Juneau City and Borough, Alaska",31967
"24","AK",2,122,"Kenai Peninsula Borough, Alaska",55927
"25","AK",2,130,"Ketchikan Gateway Borough, Alaska",13376
"26","AK",2,150,"Kodiak Island Borough, Alaska",13283
"27","AK",2,158,"Kusilvak Census Area, Alaska",7901
"28","AK",2,164,"Lake and Peninsula Borough, Alaska",1474
"29","AK",2,170,"Matanuska-Susitna Borough, Alaska",94431
"30","AK",2,180,"Nome Census Area, Alaska",9655
"31","AK",2,185,"North Slope Borough, Alaska",9584
"32","AK",2,188,"Northwest Arctic Borough, Alaska",7708
"33","AK",2,195,"Petersburg Borough, Alaska",3204
"34","AK",2,198,"Prince of Wales-Hyder Census Area, Alaska",6369
"35","AK",2,220,"Sitka City and Borough, Alaska",8759
"36","AK",2,230,"Skagway Municipality, Alaska",999
"37","AK",2,240,"Southeast Fairbanks Census Area, Alaska",6862
"38","AK",2,261,"Valdez-Cordova Census Area, Alaska",9412
"39","AK",2,275,"Wrangell City and Borough, Alaska",2368
"40","AK",2,282,"Yakutat City and Borough, Alaska",643
"41","AK",2,290,"Yukon-Koyukuk Census Area, Alaska",5619
"414","AL",1,1,"Autauga County, Alabama",54425
"415","AL",1,3,"Baldwin County, Alabama",192770
"416","AL",1,5,"Barbour County, Alabama",24060
"417","AL",1,7,"Bibb County, Alabama",20770
"418","AL",1,9,"Blount County, Alabama",57210
"419","AL",1,11,"Bullock County, Alabama",10107
"420","AL",1,13,"Butler County, Alabama",20070
"421","AL",1,15,"Calhoun County, Alabama",115195
"422","AL",1,17,"Chambers County, Alabama",33733
"423","AL",1,19,"Cherokee County, Alabama",25672
"424","AL",1,21,"Chilton County, Alabama",43499
"425","AL",1,23,"Choctaw County, Alabama",13266
"426","AL",1,25,"Clarke County, Alabama",24799
"427","AL",1,27,"Clay County, Alabama",13265
"428","AL",1,29,"Cleburne County, Alabama",14846
"429","AL",1,31,"Coffee County, Alabama",48929
"430","AL",1,33,"Colbert County, Alabama",54022
"431","AL",1,35,"Conecuh County, Alabama",12818
"432","AL",1,37,"Coosa County, Alabama",10750
"433","AL",1,39,"Covington County, Alabama",37370
"434","AL",1,41,"Crenshaw County, Alabama",13763
"435","AL",1,43,"Cullman County, Alabama",80200
"436","AL",1,45,"Dale County, Alabama",47170
"437","AL",1,47,"Dallas County, Alabama",41839
"438","AL",1,49,"DeKalb County, Alabama",70374
"439","AL",1,51,"Elmore County, Alabama",75501
"440","AL",1,53,"Escambia County, Alabama",35607
"441","AL",1,55,"Etowah County, Alabama",102735
"442","AL",1,57,"Fayette County, Alabama",16708
"443","AL",1,59,"Franklin County, Alabama",31374
"444","AL",1,61,"Geneva County, Alabama",26476
"445","AL",1,63,"Greene County, Alabama",8646
"446","AL",1,65,"Hale County, Alabama",14998
"447","AL",1,67,"Henry County, Alabama",17026
"448","AL",1,69,"Houston County, Alabama",102646
"449","AL",1,71,"Jackson County, Alabama",52366
"450","AL",1,73,"Jefferson County, Alabama",651597
"451","AL",1,75,"Lamar County, Alabama",13989
"452","AL",1,77,"Lauderdale County, Alabama",91962
"453","AL",1,79,"Lawrence County, Alabama",33344
"454","AL",1,81,"Lee County, Alabama",149037
"455","AL",1,83,"Limestone County, Alabama",84805
"456","AL",1,85,"Lowndes County, Alabama",10604
"457","AL",1,87,"Macon County, Alabama",19809
"458","AL",1,89,"Madison County, Alabama",342206
"459","AL",1,91,"Marengo County, Alabama",20079
"460","AL",1,93,"Marion County, Alabama",29729
"461","AL",1,95,"Marshall County, Alabama",93431
"462","AL",1,97,"Mobile County, Alabama",406218
"463","AL",1,99,"Monroe County, Alabama",22002
"464","AL",1,101,"Montgomery County, Alabama",222787
"465","AL",1,103,"Morgan County, Alabama",118084
"466","AL",1,105,"Perry County, Alabama",9888
"467","AL",1,107,"Pickens County, Alabama",19254
"468","AL",1,109,"Pike County, Alabama",32947
"469","AL",1,111,"Randolph County, Alabama",22412
"470","AL",1,113,"Russell County, Alabama",56373
