"","State","StateFIPS","CountyFIPS","AreaName","Poverty"
"13","AK",2,13,"Aleutians East Borough, Alaska",553
"14","AK",2,16,"Aleutians West Census Area, Alaska",499
"15","AK",2,20,"Anchorage Municipality, Alaska",23914
"16","AK",2,50,"Bethel Census Area, Alaska",4364
"17","AK",2,60,"Bristol Bay Borough, Alaska",69
"18","AK",2,68,"Denali Borough, Alaska",254
"19","AK",2,70,"Dillingham Census Area, Alaska",894
"20","AK",2,90,"Fairbanks North Star Borough, Alaska",7752
"21","AK",2,100,"Haines Borough, Alaska",135
"22","AK",2,105,"Hoonah-Angoon Census Area, Alaska",252
"23","AK",2,110,"Juneau City and Borough, Alaska",2110
"24","AK",2,122,"Kenai Peninsula Borough, Alaska",5558
"25","AK",2,130,"Ketchikan Gateway Borough, Alaska",1640
"26","AK",2,150,"Kodiak Island Borough, Alaska",1552
"27","AK",2,158,"Kusilvak Census Area, Alaska",2622
"28","AK",2,164,"Lake and Peninsula Borough, Alaska",247
"29","AK",2,170,"Matanuska-Susitna Borough, Alaska",9454
"30","AK",2,180,"Nome Census Area, Alaska",2592
"31","AK",2,185,"North Slope Borough, Alaska",976
"32","AK",2,188,"Northwest Arctic Borough, Alaska",1824
"33","AK",2,195,"Petersburg Borough, Alaska",327
"34","AK",2,198,"Prince of Wales-Hyder Census Area, Alaska",921
"35","AK",2,220,"Sitka City and Borough, Alaska",798
"36","AK",2,230,"Skagway Municipality, Alaska",44
"37","AK",2,240,"Southeast Fairbanks Census Area, Alaska",1011
"38","AK",2,261,"Valdez-Cordova Census Area, Alaska",1029
"39","AK",2,275,"Wrangell City and Borough, Alaska",279
"40","AK",2,282,"Yakutat City and Borough, Alaska",35
"41","AK",2,290,"Yukon-Koyukuk Census Area, Alaska",1252
"414","AL",1,1,"Autauga County, Alabama",7057
"415","AL",1,3,"Baldwin County, Alabama",25798
"416","AL",1,5,"Barbour County, Alabama",6421
"417","AL",1,7,"Bibb County, Alabama",3488
"418","AL",1,9,"Blount County, Alabama",9552
"419","AL",1,11,"Bullock County, Alabama",2486
"420","AL",1,13,"Butler County, Alabama",5094
"421","AL",1,15,"Calhoun County, Alabama",23325
"422","AL",1,17,"Chambers County, Alabama",7273
"423","AL",1,19,"Cherokee County, Alabama",4918
"424","AL",1,21,"Chilton County, Alabama",8288
"425","AL",1,23,"Choctaw County, Alabama",3093
"426","AL",1,25,"Clarke County, Alabama",6107
"427","AL",1,27,"Clay County, Alabama",2201
"428","AL",1,29,"Cleburne County, Alabama",2508
"429","AL",1,31,"Coffee County, Alabama",8581
"430","AL",1,33,"Colbert County, Alabama",9406
"431","AL",1,35,"Conecuh County, Alabama",4320
"432","AL",1,37,"Coosa County, Alabama",2073
"433","AL",1,39,"Covington County, Alabama",7515
"434","AL",1,41,"Crenshaw County, Alabama",2288
"435","AL",1,43,"Cullman County, Alabama",14814
"436","AL",1,45,"Dale County, Alabama",9306
"437","AL",1,47,"Dallas County, Alabama",14580
"438","AL",1,49,"DeKalb County, Alabama",13133
"439","AL",1,51,"Elmore County, Alabama",10334
"440","AL",1,53,"Escambia County, Alabama",8609
"441","AL",1,55,"Etowah County, Alabama",20078
"442","AL",1,57,"Fayette County, Alabama",3055
"443","AL",1,59,"Franklin County, Alabama",7020
"444","AL",1,61,"Geneva County, Alabama",6149
"445","AL",1,63,"Greene County, Alabama",3479
"446","AL",1,65,"Hale County, Alabama",4011
"447","AL",1,67,"Henry County, Alabama",2657
"448","AL",1,69,"Houston County, Alabama",18746
"449","AL",1,71,"Jackson County, Alabama",9415
"450","AL",1,73,"Jefferson County, Alabama",121029
"451","AL",1,75,"Lamar County, Alabama",3382
"452","AL",1,77,"Lauderdale County, Alabama",16232
"453","AL",1,79,"Lawrence County, Alabama",6225
"454","AL",1,81,"Lee County, Alabama",34561
"455","AL",1,83,"Limestone County, Alabama",12075
"456","AL",1,85,"Lowndes County, Alabama",3035
"457","AL",1,87,"Macon County, Alabama",4636
"458","AL",1,89,"Madison County, Alabama",46436
"459","AL",1,91,"Marengo County, Alabama",5244
"460","AL",1,93,"Marion County, Alabama",5960
"461","AL",1,95,"Marshall County, Alabama",18794
"462","AL",1,97,"Mobile County, Alabama",77917
"463","AL",1,99,"Monroe County, Alabama",6901
"464","AL",1,101,"Montgomery County, Alabama",49918
"465","AL",1,103,"Morgan County, Alabama",18936
"466","AL",1,105,"Perry County, Alabama",3373
"467","AL",1,107,"Pickens County, Alabama",4801
"468","AL",1,109,"Pike County, Alabama",8158
"469","AL",1,111,"Randolph County, Alabama",4511
"470","AL",1,113,"Russell County, Alabama",12054
"471","AL",1,115,"St. Clair County, Alabama",13417
"472","AL",1,117,"Shelby County, Alabama",16693
"473","AL",1,119,"Sumter County, Alabama",5372
"474","AL",1,121,"Talladega County, Alabama",17950
"475","AL",1,123,"Tallapoosa County, Alabama",9117
"476","AL",1,125,"Tuscaloosa County, Alabama",36274
"477","AL",1,127,"Walker County, Alabama",14598
"478","AL",1,129,"Washington County, Alabama",3200
"479","AL",1,131,"Wilcox County, Alabama",4126
"480","AL",1,133,"Winston County, Alabama",5157
"1107","AR",5,1,"Arkansas County, Arkansas",3705
"1108","AR",5,3,"Ashley County, Arkansas",4352
"1109","AR",5,5,"Baxter County, Arkansas",6452
"1110","AR",5,7,"Benton County, Arkansas",28804
"1111","AR",5,9,"Boone County, Arkansas",6465
"1112","AR",5,11,"Bradley County, Arkansas",3218
"1113","AR",5,13,"Calhoun County, Arkansas",907
"1114","AR",5,15,"Carroll County, Arkansas",5001
"1115","AR",5,17,"Chicot County, Arkansas",3385
"1116","AR",5,19,"Clark County, Arkansas",4716
"1117","AR",5,21,"Clay County, Arkansas",3324
"1118","AR",5,23,"Cleburne County, Arkansas",3676
"1119","AR",5,25,"Cleveland County, Arkansas",1751
"1120","AR",5,27,"Columbia County, Arkansas",5823
"1121","AR",5,29,"Conway County, Arkansas",4709
"1122","AR",5,31,"Craighead County, Arkansas",19715
"1123","AR",5,33,"Crawford County, Arkansas",11304
"1124","AR",5,35,"Crittenden County, Arkansas",11802
"1125","AR",5,37,"Cross County, Arkansas",3461
"1126","AR",5,39,"Dallas County, Arkansas",1141
"1127","AR",5,41,"Desha County, Arkansas",4029
"1128","AR",5,43,"Drew County, Arkansas",5023
"1129","AR",5,45,"Faulkner County, Arkansas",17768
"1130","AR",5,47,"Franklin County, Arkansas",3854
"1131","AR",5,49,"Fulton County, Arkansas",2383
"1132","AR",5,51,"Garland County, Arkansas",19802
"1133","AR",5,53,"Grant County, Arkansas",2134
"1134","AR",5,55,"Greene County, Arkansas",7572
"1135","AR",5,57,"Hempstead County, Arkansas",5940
"1136","AR",5,59,"Hot Spring County, Arkansas",5975
"1137","AR",5,61,"Howard County, Arkansas",2910
"1138","AR",5,63,"Independence County, Arkansas",7783
"1139","AR",5,65,"Izard County, Arkansas",2663
"1140","AR",5,67,"Jackson County, Arkansas",3819
"1141","AR",5,69,"Jefferson County, Arkansas",17205
"1142","AR",5,71,"Johnson County, Arkansas",5574
"1143","AR",5,73,"Lafayette County, Arkansas",1731
"1144","AR",5,75,"Lawrence County, Arkansas",3899
"1145","AR",5,77,"Lee County, Arkansas",2304
"1146","AR",5,79,"Lincoln County, Arkansas",2257
"1147","AR",5,81,"Little River County, Arkansas",2402
"1148","AR",5,83,"Logan County, Arkansas",4158
"1149","AR",5,85,"Lonoke County, Arkansas",8697
"1150","AR",5,87,"Madison County, Arkansas",3183
"1151","AR",5,89,"Marion County, Arkansas",3064
"1152","AR",5,91,"Miller County, Arkansas",8594
"1153","AR",5,93,"Mississippi County, Arkansas",11781
"1154","AR",5,95,"Monroe County, Arkansas",2501
"1155","AR",5,97,"Montgomery County, Arkansas",1620
"1156","AR",5,99,"Nevada County, Arkansas",2424
"1157","AR",5,101,"Newton County, Arkansas",1637
"1158","AR",5,103,"Ouachita County, Arkansas",5948
"1159","AR",5,105,"Perry County, Arkansas",1624
"1160","AR",5,107,"Phillips County, Arkansas",6882
"1161","AR",5,109,"Pike County, Arkansas",2199
"1162","AR",5,111,"Poinsett County, Arkansas",5416
"1163","AR",5,113,"Polk County, Arkansas",4878
"1164","AR",5,115,"Pope County, Arkansas",11818
"1165","AR",5,117,"Prairie County, Arkansas",1766
"1166","AR",5,119,"Pulaski County, Arkansas",67908
"1167","AR",5,121,"Randolph County, Arkansas",3651
"1168","AR",5,123,"St. Francis County, Arkansas",5857
"1169","AR",5,125,"Saline County, Arkansas",10176
"1170","AR",5,127,"Scott County, Arkansas",2165
"1171","AR",5,129,"Searcy County, Arkansas",1855
"1172","AR",5,131,"Sebastian County, Arkansas",28975
"1173","AR",5,133,"Sevier County, Arkansas",3755
"1174","AR",5,135,"Sharp County, Arkansas",3944
"1175","AR",5,137,"Stone County, Arkansas",3042
"1176","AR",5,139,"Union County, Arkansas",8172
"1177","AR",5,141,"Van Buren County, Arkansas",3574
"1178","AR",5,143,"Washington County, Arkansas",41846
"1179","AR",5,145,"White County, Arkansas",14175
"1180","AR",5,147,"Woodruff County, Arkansas",1612
"1181","AR",5,149,"Yell County, Arkansas",4009
"1761","AZ",4,1,"Apache County, Arizona",25852
"1762","AZ",4,3,"Cochise County, Arizona",21102
"1763","AZ",4,5,"Coconino County, Arizona",28824
"1764","AZ",4,7,"Gila County, Arizona",11839
"1765","AZ",4,9,"Graham County, Arizona",7446
"1766","AZ",4,11,"Greenlee County, Arizona",1215
"1767","AZ",4,12,"La Paz County, Arizona",3824
"1768","AZ",4,13,"Maricopa County, Arizona",673527
"1769","AZ",4,15,"Mohave County, Arizona",38874
"1770","AZ",4,17,"Navajo County, Arizona",32141
"1771","AZ",4,19,"Pima County, Arizona",187250
"1772","AZ",4,21,"Pinal County, Arizona",63201
"1773","AZ",4,23,"Santa Cruz County, Arizona",10970
"1774","AZ",4,25,"Yavapai County, Arizona",34117
"1775","AZ",4,27,"Yuma County, Arizona",40508
"2259","CA",6,1,"Alameda County, California",194639
"2260","CA",6,3,"Alpine County, California",195
"2261","CA",6,5,"Amador County, California",4191
"2262","CA",6,7,"Butte County, California",47532
"2263","CA",6,9,"Calaveras County, California",5590
"2264","CA",6,11,"Colusa County, California",3171
"2265","CA",6,13,"Contra Costa County, California",117915
"2266","CA",6,15,"Del Norte County, California",5207
"2267","CA",6,17,"El Dorado County, California",18831
"2268","CA",6,19,"Fresno County, California",252187
"2269","CA",6,21,"Glenn County, California",5721
"2270","CA",6,23,"Humboldt County, California",28158
"2271","CA",6,25,"Imperial County, California",40114
"2272","CA",6,27,"Inyo County, California",2019
"2273","CA",6,29,"Kern County, California",195744
"2274","CA",6,31,"Kings County, California",29900
"2275","CA",6,33,"Lake County, California",15597
"2276","CA",6,35,"Lassen County, California",3563
"2277","CA",6,37,"Los Angeles County, California",1800265
"2278","CA",6,39,"Madera County, California",33968
"2279","CA",6,41,"Marin County, California",20964
"2280","CA",6,43,"Mariposa County, California",2651
"2281","CA",6,45,"Mendocino County, California",17527
"2282","CA",6,47,"Merced County, California",67417
"2283","CA",6,49,"Modoc County, California",1673
"2284","CA",6,51,"Mono County, California",684
"2285","CA",6,53,"Monterey County, California",69475
"2286","CA",6,55,"Napa County, California",14020
"2287","CA",6,57,"Nevada County, California",12367
"2288","CA",6,59,"Orange County, California",395483
"2289","CA",6,61,"Placer County, California",32427
"2290","CA",6,63,"Plumas County, California",2687
"2291","CA",6,65,"Riverside County, California",379985
"2292","CA",6,67,"Sacramento County, California",262251
"2293","CA",6,69,"San Benito County, California",6202
"2294","CA",6,71,"San Bernardino County, California",397766
"2295","CA",6,73,"San Diego County, California",454876
"2296","CA",6,75,"San Francisco County, California",109524
